n_neighbors,weights,metric,r_squared,rmse
2,uniform,euclidean,0.5141496424726837,18.399197411689542
5,distance,euclidean,0.42546730307334935,20.008060439570034
13,uniform,manhattan,0.4103370908150018,20.269802689056775
13,uniform,manhattan,0.4103370908150018,20.269802689056775
9,distance,euclidean,0.4060156022211192,20.343943196729093
18,distance,manhattan,0.4004093169320194,20.439725248999665
17,uniform,manhattan,0.4003261823858981,20.44114220596081
10,distance,euclidean,0.3993869476499775,20.457143837626237
12,distance,euclidean,0.39131053692743933,20.594227581847
20,distance,euclidean,0.3826465511488394,20.740277132206565
